Catergories,less than 5000,5000-9999,10000-14999,15000-19999,20000-29999,30000-39999,40000-49999,50000-69999
Food,39/2031,41/2115,39/2045,36/1874,37/1944,43/2219,38/1982,43/2337
Restaurant,16/815,12/633,11/548,11/594,13/670,15/771,16/820,19/981
Transportation,39/2034,36/1884,29/1505,38/2010,41/2120,51/2669,53/2742,64/3337
Health Care,14/726,12/646,18/928,19/1012,23/1202,24/1250,25/1275,27/1378
Entertainment,10/520,12/584,11/577,13/645,15/818,15/770,15/782,20/1048
Apparel and Clothing,13/662,11/586,9/462,9/462,10/510,12/611,10/490,13/654
